========================================================================================
Trioron 2.0 Axis 6 — real-substrate, n=3 seeds
H_init=4  mode=absolute  k=1.0  floor=0.005  b_thr=1.0  sigma=1.5  dt=0.1  tol=0.0  spawn_cap=3  cooldown=50  credit_thr=0.1
========================================================================================
  [rings] epoch 200: loss=0.2744  acc=0.950  H=11  epi_A_max=0.013  epi_B_max=1.539
  [rings] epoch 300: loss=0.2650  acc=0.967  H=11  epi_A_max=0.021  epi_B_max=1.575
  [rings] epoch 399: loss=0.2633  acc=0.967  H=11  epi_A_max=0.030  epi_B_max=1.595
  [diamond] epoch   0: loss=1.8076  acc=0.090  H=11  epi_A_max=0.000  epi_B_max=0.160
  [diamond] epoch 100: loss=0.2904  acc=0.943  H=12  epi_A_max=0.007  epi_B_max=1.750
  [diamond] epoch 200: loss=0.2675  acc=0.960  H=14  epi_A_max=0.010  epi_B_max=1.694
  [diamond] epoch 300: loss=0.2062  acc=0.970  H=14  epi_A_max=0.015  epi_B_max=1.775
  [diamond] epoch 399: loss=0.2008  acc=0.973  H=14  epi_A_max=0.021  epi_B_max=1.906
  [stripe] epoch   0: loss=2.1997  acc=0.090  H=14  epi_A_max=0.000  epi_B_max=0.192
  [stripe] epoch 100: loss=0.0686  acc=0.993  H=14  epi_A_max=0.005  epi_B_max=1.477
  [stripe] epoch 200: loss=0.0451  acc=0.990  H=16  epi_A_max=0.007  epi_B_max=1.438
  [stripe] epoch 300: loss=0.0345  acc=0.990  H=17  epi_A_max=0.008  epi_B_max=1.454
  [stripe] epoch 399: loss=0.0282  acc=0.993  H=17  epi_A_max=0.008  epi_B_max=1.463
[seed 1  arm AXIS6_emerge    ]  max|drift|=0.547  sum_final=2.960  H=17  spawns=13  frozen=0
  [linear] epoch   0: loss=1.4297  acc=0.097  H=4  epi_A_max=0.000  epi_B_max=0.044
  [linear] epoch 100: loss=0.3131  acc=0.970  H=4  epi_A_max=0.003  epi_B_max=1.474
  [linear] epoch 199: loss=0.2486  acc=0.970  H=5  epi_A_max=0.004  epi_B_max=1.194
  [XOR] epoch   0: loss=1.0109  acc=0.277  H=5  epi_A_max=0.000  epi_B_max=0.119
  [XOR] epoch 100: loss=0.4471  acc=0.863  H=6  epi_A_max=0.004  epi_B_max=1.191
  [XOR] epoch 200: loss=0.3526  acc=0.900  H=8  epi_A_max=0.010  epi_B_max=1.256
